method,features,dataset_size,n_features,mean_error_m,median_error_m,std_error_m,min_error_m,max_error_m,accuracy_50cm,accuracy_1m,accuracy_2m,accuracy_3m
RandomForest_config3,physics,750,16,2.1724142347106437,1.6188217937747196,1.2192665775231533,0.037700943106387615,5.217805362966789,0.43383947939262474,22.722342733188718,52.44034707158352,63.259219088937094
RandomForest_config1,combined,750,121,2.3918868999053267,2.383065180574966,0.6569528105045896,0.9189184463874427,4.4821869662029945,0.0,0.027114967462039046,24.728850325379607,76.19305856832972
RandomForest_config2,combined,750,121,2.3931965744463795,2.4049064186195674,0.6356844830598929,0.7735644814392943,4.55,0.0,0.027114967462039046,25.949023861171366,76.38286334056399
RandomForest_config3,combined,750,121,2.3355475257240688,2.4451380327553265,0.5952047540555844,1.0321681602874173,4.49321711026743,0.0,0.0,26.13882863340564,81.8058568329718
MLP_config1,raw,750,105,1.735815636165561,1.4031477299752455,1.0362574326426426,0.04165640829683637,4.303374226913121,7.37527114967462,31.99566160520607,61.8763557483731,80.20607375271149
MLP_config2,raw,750,105,1.8759307078039782,1.6089367322973427,0.9534363889898929,0.10119834911108366,4.240752390308971,2.5216919739696313,18.519522776572668,62.22885032537961,80.20607375271149
MLP_config3,raw,750,105,1.9110693234058855,1.6492278226577577,1.0193058841864349,0.27019615560986093,3.847983537678492,0.6507592190889371,24.40347071583514,60.03253796095444,79.66377440347071
MLP_config1,physics,750,16,2.2765877879016942,2.143262251623037,0.860907112836712,0.035081438678913834,4.412258007967897,2.1963123644251628,5.260303687635575,40.862255965292846,80.61279826464208
MLP_config2,physics,750,16,2.5432777310698986,2.410547188366216,1.6891121186542468,0.27768989545365147,6.299408289722814,1.5184381778741864,17.136659436008678,41.21475054229935,79.71800433839479
MLP_config3,physics,750,16,2.2921323899741166,2.530513612303128,1.139244671161959,0.5261766510143572,4.3288891735448205,0.0,10.683297180043384,40.67245119305857,77.81995661605207
MLP_config1,combined,750,121,1.9302876072422346,1.876770469710655,0.7058727829522079,0.36322519043846263,3.6269784672445384,0.13557483731019523,10.601952277657267,53.8232104121475,95.49891540130152
MLP_config2,combined,750,121,2.017847610325517,2.078800637770911,0.693343946346455,0.6893783824157074,3.4026651210248358,0.0,12.635574837310196,46.366594360086765,96.44793926247289
MLP_config3,combined,750,121,2.023445419518438,2.199946062372355,0.7131949074216827,0.7007058107678615,3.4447711611028473,0.0,20.363340563991322,34.95119305856833,97.47830802603036
