x,y,point_type,n_samples,tau_rms_mean_ns,tau_rms_std_ns,Bc_mean_MHz,Bc_std_MHz,K_pdp_mean_dB,K_pdp_std_dB,rssi_mean_dBm,rssi_std_dBm
3.0,2.0,training,50,1296.1543805502124,9.64596303529705,5.237928339169585,1.296514894062688,-13.88364152617591,0.04094575557808154,-54.98,0.14142135623730953
3.0,4.0,training,50,1452.7613755642476,17.93702738229827,1.970222611305653,0.06671714341026547,-15.026582747391934,0.18654313898614522,-59.22,1.5556349186104046
3.0,5.0,training,50,1498.0070847587403,2.687982252227237,1.7415645322661333,0.024961731012718476,-16.04864013805779,0.15517109032804885,-61.92,0.6651683843898751
4.0,0.0,training,50,1360.1703418557008,29.973029517825367,2.2915238869434718,0.8781142434809754,-14.27924672767584,0.22592555875119666,-60.12,0.7182745765700876
4.0,1.0,training,50,1423.8184377378398,14.166700658922657,1.6648668084042022,0.05965575517231039,-15.174551256127334,0.16148889261631214,-55.32,0.5126959555693246
4.0,4.0,training,50,1382.6003856695277,53.963776471694814,1.759104552276138,0.17377863209125885,-14.497535178569056,0.3633773478633881,-61.08,0.27404751561786966
5.0,0.0,training,50,1423.5547222542232,12.015695312866198,1.437962731365683,0.029777276729678344,-17.07934996196343,0.2230340228250748,-64.14,0.35050983275386566
5.0,2.0,training,50,1346.8756271229595,11.988853073374663,4.015229489744872,2.010418483826703,-14.220531009350974,0.1788135550813619,-57.14,0.45220547975269754
5.0,3.0,training,50,1461.5003503303167,12.832687380500786,1.510674087043522,0.01795374625271812,-15.088043299357754,0.2613416701239823,-58.12,0.7182745765700876
5.0,4.0,training,50,1462.340500152194,12.678415132712653,1.5070066283141574,0.01049947846246456,-15.116105826429283,0.2727309803365996,-58.26,0.4430874976934521
6.0,3.0,training,50,1441.0626994293468,9.127991186965206,1.847442471235618,0.021732404251774834,-15.269856798429892,0.08602688406775695,-56.98,0.14142135623730953
0.0,3.0,validation,50,1401.422389383711,24.997041889468026,1.9528420460230114,0.5018429107121853,-14.32137366229787,0.18573218460374646,-55.92,0.4444671196029727
2.0,1.0,validation,50,1497.4830868585864,25.153559786047133,7.04152076038019,0.14547541092855504,-13.220963758443409,0.1057250493900172,-51.98,0.6223720260226275
0.0,6.0,validation,50,1471.4540638948724,6.127735059394592,1.5063688094047023,0.01614034617005686,-15.484461265109958,0.17266599545359593,-58.14,0.3505098327538656
5.0,1.0,validation,50,1439.1690795368954,17.661484639655264,1.3700350175087546,0.03574092128238311,-15.760519529546304,0.26239503666340513,-56.04,0.1979486637221574
3.0,3.0,validation,50,1374.0298745808225,10.589505782059263,1.7825443971985995,0.03249896862556251,-14.51059953035632,0.04438121990161071,-59.16,0.3703280399090206
4.0,5.0,validation,50,1462.6109418139813,7.688972124730743,1.602201100550275,0.028676529481693244,-15.295795988181053,0.13536119666338436,-62.74,0.48697315854455175
6.0,4.0,validation,50,1358.2474012350617,48.42908149980566,4.045047523761881,1.8612636361154573,-14.320017866097295,0.5295537799907843,-59.0,0.3499271061118826
0.5,0.5,testing,50,1470.9362576188762,4.396759822940098,1.5310842921460728,0.007884384007126013,-15.330140297712626,0.09825652706701057,-46.96,0.1979486637221574
1.5,4.5,testing,50,1485.7487631476831,9.017553882634461,7.5543271635817915,0.06907860572034269,-13.069357204944783,0.03493869752122642,-59.84,0.6180945043652553
2.5,2.5,testing,50,1421.0596130422432,17.90964959849253,1.853980115057529,0.058414667987350885,-14.790392302032101,0.11906808279539799,-52.74,0.5646020812962715
3.5,1.5,testing,50,1321.0022829045806,19.741179566564554,2.9259942471235623,1.6225173129544057,-13.842225961989543,0.09091933957182857,-56.82,0.3880879344916036
5.5,3.5,testing,50,1441.0789695902909,9.72263730489993,2.028901950975488,0.11843280686871871,-15.383187541941233,0.16188752874053777,-61.42,0.6091144458665099
